RNA1 EcoCyc ID	RNA2 EcoCyc ID	RNA1 name	RNA2 name	RNA1 description	RNA2 description	RNA1 chromosome	Start of RNA1 first read	Start of RNA1 last read	RNA1 strand	RNA2 chromosome	Start of RNA2 last read	Start of RNA2 first read	RNA2 strand	interactions	other interactions of RNA1	other interactions of RNA2	total other interactions	odds ratio	Fisher's exact test p-value	total RNA reads1	total RNA reads2	lib norm IP RNA1	lib norm IP RNA2	lib norm total RNA1	lib norm total RNA2	IP/total ratio1	IP/total ratio2	Normalized Odds Ratio (NOR)	RNA1 pred effect	RNA2 pred effect	Maximal RNA effect	Total reads IP: 30048261	Total reads total: 28058365
G0-16601	G0-17104	micL	uhpU	small regulatory RNA MicL-S	small RNA UhpU	chrI	1958503	1958670	-	chrI	3845731	3845748	-	109	11018	62344	29974790	4.756474971	3.01E-31	157	339	0.000370304	0.002078423	5.60E-06	1.21E-05	70.42405063	183.6852941	4.756474971	0.009795992	0.001745312	0.009795992		
G0-8865	EG31116	ryeA	oxyS	small antisense RNA RyeA	small regulatory RNA OxyS	chrI	1923101	1923165	+	chrI	4158278	4158298	-	46	659	28655	30018901	73.12515386	3.06E-60	371	172	2.35E-05	0.000955163	1.32E-05	6.13E-06	1.89516129	165.9017341	3.929222402	0.003505973	0.001602732	0.003505973		
gene-lambdap01.gene-lambdap79.IGR	G0-8871	nu1.lambdap79.IGR	arcZ	- : -	small regulatory RNA ArcZ	chrII	47908	47972	-	chrI	3350677	3350697	+	50	44	652916	29395251	51.1607838	4.27E-50	6	7972	3.13E-06	0.021730575	2.14E-07	0.000284122	13.42857143	81.89715289	19.4787303	0.202518921	7.66E-05	0.202518921		
gene-lambdap47	G0-8871	orf28	arcZ	-	small regulatory RNA ArcZ	chrII	34319	34383	-	chrI	3350666	3350698	+	98	1431	652868	29393864	3.083313894	2.10E-13	838	7972	5.09E-05	0.021730575	2.99E-05	0.000284122	1.822407628	81.89715289	0.159315087	0.003311752	0.000150084	0.003311752		
gene-lambdap38	G0-8871	orf63	arcZ	-	small regulatory RNA ArcZ	chrII	31122	31187	-	chrI	3350667	3350698	+	120	1684	652846	29393611	3.20834715	5.80E-19	311	7972	6.00E-05	0.021730575	1.11E-05	0.000284122	5.782051282	81.89715289	0.525965108	0.010904865	0.000183777	0.010904865		
gene-lambdap02	G0-16649	A	cpxQ	-	small regulatory RNA CpxQ	chrII	2301	2560	+	chrI	4106353	4106387	+	247	8326	163973	29875715	5.405134584	1.19E-87	2265	835	0.000285308	0.005465208	8.07E-05	2.98E-05	3.783318623	196.4354067	0.579793139	0.003090514	0.00150408	0.003090514		
gene-lambdap02	G0-16649	A	cpxQ	-	small regulatory RNA CpxQ	chrII	1906	2099	+	chrI	4106365	4106387	+	47	2411	164173	29881630	3.548160013	7.07E-06	649	835	8.18E-05	0.005465208	2.31E-05	2.98E-05	3.781538462	196.4354067	0.380421769	0.002050115	0.000286201	0.002050115		
gene-lambdap10	G0-16649	Fii	cpxQ	-	small regulatory RNA CpxQ	chrII	7801	7999	+	chrI	4106355	4106388	+	174	13818	164046	29870223	2.292856524	7.18E-15	847	835	0.000465651	0.005465208	3.02E-05	2.98E-05	16.5	196.4354067	1.072641178	0.005817643	0.001059554	0.005817643		
gene-lambdap16	G0-16649	H	cpxQ	-	small regulatory RNA CpxQ	chrII	11603	11698	+	chrI	4106346	4106388	+	364	17972	163856	29866069	3.691651441	1.78E-85	921	835	0.000610218	0.005465208	3.28E-05	2.98E-05	19.88720174	196.4354067	2.081555572	0.011193454	0.002216539	0.011193454		
gene-lambdap65	G0-16649	NinD	cpxQ	-	small regulatory RNA CpxQ	chrII	42003	42489	+	chrI	4106222	4106388	+	1104	9228	163574	29874355	21.84971372	0	1253	926	0.000343847	0.00548045	4.47E-05	3.30E-05	8.23923445	177.6461704	5.104183198	0.024961184	0.006703992	0.024961184		
gene-lambdap71	G0-16649	Q	cpxQ	-	small regulatory RNA CpxQ	chrII	43814	44294	+	chrI	4106364	4106387	+	75	2849	164145	29881192	4.792245673	6.81E-20	647	835	9.73E-05	0.005465208	2.31E-05	2.98E-05	4.512345679	196.4354067	0.613105311	0.003281557	0.000456704	0.003281557		
gene-lambdap76	G0-16649	Rz	cpxQ	-	small regulatory RNA CpxQ	chrII	46345	46762	+	chrI	4106356	4106388	+	577	8277	163643	29875764	12.72695315	0	3469	835	0.000294659	0.005465208	0.000123635	2.98E-05	2.551585014	196.4354067	0.920721172	0.004714547	0.003513579	0.004714547		
G0-10677	gene-lambdap92	fnrS	S'	small regulatory RNA FnrS	-	chrI	1409128	1409194	+	chrII	45129	45299	+	123	719513	1964	29326661	2.55262843	7.44E-12	14268	1732	0.023949339	6.95E-05	0.000508511	6.17E-05	50.43352723	1.204270052	0.087157573	0.00017092	0.002012335	0.002012335		
G0-17085	gene-lambdap05	ftsO	C	small regulatory RNA FtsO	-	chrI	92484	92624	+	chrII	4503	4511	+	10	2020	2319	30043912	64.1363681	2.45E-08	3805	416	6.76E-05	7.75E-05	0.00013561	1.48E-05	0.533368366	5.585131894	0.153586249	7.45E-05	0.00067992	0.00067992		
G0-8867	gene-lambdap32	gcvB	lambdap32	small regulatory RNA GcvB	-	chrI	2942696	2942775	+	chrII	27607	27650	-	58	716629	239	29331335	9.932705152	8.97E-28	22832	38	0.023851197	9.88E-06	0.000813732	1.35E-06	31.38821005	7.615384615	1.908592529	7.20E-05	0.042165478	0.042165478		
G0-8867	gene-lambdap01.gene-lambdap79.IGR	gcvB	nu1.lambdap79.IGR	small regulatory RNA GcvB	- : -	chrI	2942696	2942699	+	chrII	48179	48268	-	16	182656	192	29865397	13.62552056	4.32E-06	8727	5	0.006079287	6.92E-06	0.00031103	1.78E-07	20.92942255	34.66666667	7.947119018	5.20E-05	0.075607064	0.075607064		
G0-17103	gene-lambdap80.AS	motR	ea47.AS	small RNA MotR	-	chrI	1977262	1977301	-	chrII	23473	23480	+	12	40511	522	30007216	17.02799382	0.000215017	1153	91	0.001348597	1.78E-05	4.11E-05	3.24E-06	35.1152513	5.804347826	2.789972852	0.000294828	0.003698172	0.003698172		
EG31116	gene-lambdap82	oxyS	ea59	small regulatory RNA OxyS	-	chrI	4158327	4158396	-	chrII	26916	26978	-	19	28939	752	30018551	26.20848793	1.34E-13	209	88	0.000963716	2.57E-05	7.45E-06	3.14E-06	137.8952381	8.662921348	6.437244109	0.000656123	0.006052813	0.006052813		
EG31116	gene-lambdap79	oxyS	lambdap79	small regulatory RNA OxyS	-	chrI	4158318	4158331	-	chrII	47903	47975	+	16	28942	1965	30017338	8.445027424	0.002712325	209	708	0.000963716	6.59E-05	7.45E-06	2.52E-05	137.8952381	2.794076164	0.669010519	0.000552524	0.000639834	0.000639834		
G0-8863	gene-lambdap49.EST5UTR.35	rprA	N.EST5UTR	small regulatory RNA RprA	-	chrI	1770370	1770400	+	chrII	35383	35396	-	52	778	504	30046927	3984.678367	1.15E-157	7	1482	2.76E-05	1.85E-05	2.49E-07	5.28E-05	103.75	0.374915711	42.35654758	0.062650602	0.000994159	0.062650602		
G0-8863	gene-lambdap49.EST5UTR.34	rprA	N.EST5UTR	small regulatory RNA RprA	-	chrI	1770401	1770421	+	chrII	35388	35395	-	8	6990	548	30040715	62.73971158	6.35E-06	26	1482	0.000232892	1.85E-05	9.27E-07	5.28E-05	259.1851852	0.374915711	0.666913947	0.001143184	0.000152948	0.001143184		
EG12356.G7751.IGR	preS	rtcR.rtcB.IGR	preS	DNA-binding transcriptional activator RtcR : RNA-splicing ligase	-	chrI	3558135	3558164	-	chrII	33924	33962	-	10	57	131352	29916842	39.9580423	5.79E-06	1	1335	2.23E-06	0.004371701	3.56E-08	4.76E-05	33.5	98.3248503	37.95269767	0.141763245	7.61E-05	0.141763245		
gene-lambdap80	gene-lambdap81.EST3UTR.56	ea47	ea31.EST3UTR	-	-	chrII	23206	23398	-	chrII	24432	24453	-	15	1750	2884	30043612	89.29149594	2.00E-17	138	118	5.87E-05	9.65E-05	4.92E-06	4.21E-06	12.69784173	24.36134454	22.20386333	0.003059638	0.003573863	0.003573863		
gene-lambdap32.EST3UTR.22	gene-lambdap83	lambdap32.EST3UTR	ea22	-	-	chrII	27463	27541	-	chrII	29804	29992	-	12	1393	9107	30037749	28.41333272	5.56E-07	223	414	4.68E-05	0.000303478	7.95E-06	1.48E-05	6.272321429	21.97349398	3.148015666	0.001518892	0.000819836	0.001518892		
gene-lambdap04	gene-lambdap02	B	A	-	-	chrII	2836	3296	+	chrII	733	1184	+	68	12934	11622	30023637	13.58183611	1.72E-44	3596	1829	0.000432704	0.000389041	0.000128161	6.52E-05	3.614678899	6.387978142	0.252103523	0.000535997	0.001053541	0.001053541		
gene-lambdap02	gene-lambdap04	A	B	-	-	chrII	1011	1497	+	chrII	2828	3272	+	65	11019	12306	30024871	14.39247265	8.18E-44	2508	3596	0.000368873	0.000411704	8.94E-05	0.000128161	4.417696293	3.439254935	0.175785448	0.000734525	0.00051235	0.000734525		
gene-lambdap02	gene-lambdap04	A	B	-	-	chrII	2304	2772	+	chrII	3713	4178	+	68	17085	15246	30015862	7.835899083	7.32E-30	3963	3711	0.000570848	0.000509647	0.000141241	0.00013226	4.327194753	4.125538793	0.112450977	0.000486372	0.000519391	0.000519391		
gene-lambdap04	gene-lambdap02	B	A	-	-	chrII	2816	3292	+	chrII	1404	1893	+	64	12938	13299	30021960	11.16690659	1.41E-36	3596	2420	0.000432704	0.000444718	0.000128161	8.62E-05	3.614678899	5.519619992	0.179101436	0.000504467	0.000749512	0.000749512		
gene-lambdap02	gene-lambdap04	A	B	-	-	chrII	1611	2069	+	chrII	3736	4178	+	41	12739	15273	30020208	6.326126388	1.29E-12	2242	3711	0.000425316	0.000509647	7.99E-05	0.00013226	5.697726259	4.125538793	0.11953839	0.000518261	0.000313162	0.000518261		
gene-lambdap02	gene-lambdap04	A	B	-	-	chrII	1805	2290	+	chrII	3109	3578	+	51	11523	12536	30024151	10.60025631	4.41E-27	2623	3808	0.00038518	0.000418893	9.35E-05	0.000135717	4.410823171	3.304541875	0.124203707	0.000551061	0.000379623	0.000551061		
gene-lambdap02	gene-lambdap04	A	B	-	-	chrII	458	870	+	chrII	2905	3382	+	31	10949	12173	30025108	6.983516993	1.42E-09	1764	3594	0.000365412	0.000406147	6.29E-05	0.00012809	6.220963173	3.394714882	0.118555693	0.000497979	0.000244487	0.000497979		
gene-lambdap02	gene-lambdap04	A	B	-	-	chrII	2191	2300	+	chrII	4101	4567	+	18	5311	18756	30024176	5.425341458	0.025575389	1430	3169	0.000177348	0.000624795	5.10E-05	0.000112943	3.723969252	5.922397476	0.096187358	0.000356637	0.000160993	0.000356637		
