RNA1 EcoCyc ID	RNA2 EcoCyc ID	RNA1 name	RNA2 name	RNA1 description	RNA2 description	RNA1 chromosome	Start of RNA1 first read	Start of RNA1 last read	RNA1 strand	RNA2 chromosome	Start of RNA2 last read	Start of RNA2 first read	RNA2 strand	interactions	other interactions of RNA1	other interactions of RNA2	total other interactions	odds ratio	Fisher's exact test p-value	total RNA reads1	total RNA reads2	lib norm IP RNA1	lib norm IP RNA2	lib norm total RNA1	lib norm total RNA2	IP/total ratio1	IP/total ratio2	Normalized Odds Ratio (NOR)	RNA1 pred effect	RNA2 pred effect	Maximal RNA effect	Total reads IP: 37005653	Total reads total: 42694894
G6672.G0-8899.IGR	G0-17117	smrA.mcaS.IGR	glnZ	DNA endonuclease SmrA : small regulatory RNA McaS	-	chrI	1405801	1405804	-	chrI	4056428	4056561	-	9	75	121742	36883827	36.35605822	0.000105734	9	2700	2.27E-06	0.003290065	2.11E-07	6.32E-05	8.4	45.07626805	14.47277216	0.042651878	7.39E-05	0.042651878		
G0-8894.EG10024.IGR	G0-17117	tp2.aceE.IGR	glnZ	- : pyruvate dehydrogenase E1 component	-	chrI	122859	122896	+	chrI	4056426	4056567	-	55	909	121696	36882993	18.33786025	2.53E-41	2118	2700	2.61E-05	0.003290065	4.96E-05	6.32E-05	0.454931571	45.07626805	0.395357867	0.001230063	0.000451742	0.001230063		
G0-17084	EG31116	ispZ	oxyS	small regulatory RNA IspZ	small regulatory RNA OxyS	chrI	194722	194791	+	chrI	4158278	4158298	-	33	3872	6559	36995189	48.07133805	2.38E-36	598	66	0.000105524	0.000178135	1.40E-05	1.55E-06	6.519198664	98.3880597	14.85169683	0.002610855	0.005006068	0.005006068		
EG11235.AS	G0-8899	rhlE.AS	mcaS	ATP-dependent RNA helicase RhlE	small regulatory RNA McaS	chrI	831996	831998	-	chrI	1405657	1405679	-	9	65	258709	36746870	19.66699324	0.023258892	21	5430	2.00E-06	0.00699131	4.92E-07	0.000127181	3.363636364	47.63726754	3.135036895	0.019387217	3.48E-05	0.019387217		
G0-16601	G0-17104	micL	uhpU	small regulatory RNA MicL-S	small RNA UhpU	chrI	1958516	1958577	-	chrI	3845731	3845762	-	104	22237	28910	36954402	5.978265939	3.54E-38	310	405	0.000603719	0.000784042	7.26E-06	9.49E-06	71.83601286	71.46305419	5.978265939	0.004655118	0.003584476	0.004655118		
G0-8865	EG31116	ryeA	oxyS	small antisense RNA RyeA	small regulatory RNA OxyS	chrI	1923114	1923165	+	chrI	4158278	4158338	-	10	800	7984	36996859	57.92343907	4.73E-08	997	153	2.19E-05	0.000216021	2.34E-05	3.58E-06	0.811623246	51.90909091	2.227945	0.000474859	0.001250938	0.001250938		
G0-8880	G0-17077	rybB	rbsZ	small regulatory RNA RybB	small regulatory RNA RbsZ	chrI	888014	888109	-	chrI	3937210	3937280	+	186	100522	3365	36901580	20.29138619	1.21E-159	144	1715	0.002721422	9.60E-05	3.37E-06	4.02E-05	694.537931	2.069347319	1.989943538	0.001846924	0.005136784	0.005136784		
G0-9384	G0-17120.AS	sroD	stfZ.AS	-	-	chrI	1888059	1888063	-	chrI	105287	105288	+	6	2115	1365	37002167	76.90160185	0.002385852	109	681	5.73E-05	3.70E-05	2.55E-06	1.60E-05	19.28181818	2.01026393	6.694648003	0.002584962	0.000416929	0.002584962		
G6497	G0-16636	mgsA	3'ETS-leuZ	methylglyoxal synthase	-	chrI	1026968	1026979	-	chrI	1991745	1991748	-	8	380	6429	36998836	121.1577015	7.40E-08	509	234	1.05E-05	0.000173946	1.19E-05	5.48E-06	0.760784314	27.39148936	4.368257428	0.000743388	0.001242815	0.001242815		
G6762	G0-16636	pqqU	3'ETS-leuZ	-	-	chrI	1523039	1523092	-	chrI	1991745	1991764	-	9	55	6428	36999161	941.8805482	3.14E-17	7	234	1.73E-06	0.000173946	1.64E-07	5.48E-06	8	27.39148936	357.0931042	0.053314847	0.001398167	0.053314847		
EG10901	G0-16636	rpsB	3'ETS-leuZ	30S ribosomal subunit protein S2	-	chrI	189820	189882	+	chrI	1991746	1991769	-	27	393	6410	36998823	396.5528659	5.74E-53	5148	234	1.13E-05	0.000173946	0.000120576	5.48E-06	0.081569237	27.39148936	1.532932882	0.000248506	0.004194501	0.004194501		
gene-lambdap01.gene-lambdap79.IGR	G0-8871	nu1.lambdap79.IGR	arcZ	- : -	small regulatory RNA ArcZ	chrII	47952	48026	-	chrI	3350666	3350697	+	17	39	472529	36533068	33.70093828	3.10E-12	6	7965	1.51E-06	0.012769563	1.41E-07	0.000186556	8	59.32036154	12.77696274	0.115092369	3.60E-05	0.115092369		
gene-lambdap47	G0-8871	orf28	arcZ	-	small regulatory RNA ArcZ	chrII	34310	34399	-	chrI	3350617	3350698	+	279	13286	472267	36519821	1.623869016	4.89E-07	6261	7965	0.000366566	0.012769563	0.000146645	0.000186556	2.166240818	59.32036154	0.166706825	0.002111479	0.000590419	0.002111479		
gene-lambdap38	G0-8871	orf63	arcZ	-	small regulatory RNA ArcZ	chrII	31108	31191	-	chrI	3350667	3350698	+	198	6052	472348	36527055	2.529990257	1.87E-22	1913	7965	0.000168893	0.012769563	4.48E-05	0.000186556	3.265412748	59.32036154	0.391518764	0.004902515	0.000419007	0.004902515		
gene-lambdap02	G0-16649	A	cpxQ	-	small regulatory RNA CpxQ	chrII	2351	2596	+	chrI	4106353	4106387	+	136	4460	163312	36837745	6.878266355	5.69E-58	2170	1566	0.000124197	0.004416839	5.08E-05	3.67E-05	2.116996776	104.3063178	0.690072681	0.002968758	0.000832069	0.002968758		
gene-lambdap02	G0-16649	A	cpxQ	-	small regulatory RNA CpxQ	chrII	1910	1978	+	chrI	4106318	4106388	+	24	629	163424	36841576	8.601673628	5.94E-08	355	1566	1.76E-05	0.004416839	8.31E-06	3.67E-05	1.834269663	104.3063178	0.747724812	0.003194897	0.000146836	0.003194897		
gene-lambdap10	G0-16649	Fii	cpxQ	-	small regulatory RNA CpxQ	chrII	7801	7992	+	chrI	4106357	4106387	+	95	5515	163353	36836690	3.884468223	3.12E-20	969	1566	0.000151598	0.004416839	2.27E-05	3.67E-05	5.783505155	104.3063178	1.064678168	0.004641384	0.000581225	0.004641384		
gene-lambdap16	G0-16649	H	cpxQ	-	small regulatory RNA CpxQ	chrII	11603	11698	+	chrI	4106314	4106387	+	240	7487	163208	36834718	7.234679811	1.68E-110	826	1566	0.000208806	0.004416839	1.93E-05	3.67E-05	9.343409915	104.3063178	3.203467826	0.013753125	0.001468357	0.013753125		
gene-lambdap65	G0-16649	NinD	cpxQ	-	small regulatory RNA CpxQ	chrII	41839	42300	+	chrI	4106289	4106387	+	444	6713	165947	36832549	14.68008914	0	1730	2111	0.000193403	0.004496367	4.05E-05	4.94E-05	4.134604275	78.78361742	2.87645968	0.012155744	0.002668414	0.012155744		
gene-lambdap71	G0-16649	Q	cpxQ	-	small regulatory RNA CpxQ	chrII	43819	44299	+	chrI	4106370	4106388	+	55	3698	163393	36838507	3.353237826	5.42E-07	1081	1566	0.000101417	0.004416839	2.53E-05	3.67E-05	3.46857671	104.3063178	0.551202665	0.002408968	0.000336498	0.002408968		
gene-lambdap11	G0-16649	Z	cpxQ	-	small regulatory RNA CpxQ	chrII	8401	8529	+	chrI	4106363	4106387	+	189	8260	163259	36833945	5.16241436	3.53E-63	1312	1566	0.000228316	0.004416839	3.07E-05	3.67E-05	6.43488195	104.3063178	1.574305791	0.006821702	0.001156331	0.006821702		
G0-8871	gene-lambdap62	arcZ	ren	small regulatory RNA ArcZ	-	chrI	3350641	3350651	+	chrII	40502	40588	+	88	406631	2365	36596569	3.348816986	4.44E-14	7965	592	0.010990726	6.63E-05	0.000186556	1.39E-05	51.05686668	4.136593592	0.656492725	0.000216366	0.007032725	0.007032725		
G0-16649	gene-lambdap77.AS	cpxQ	bor.AS	small regulatory RNA CpxQ	-	chrI	4106330	4106344	+	chrII	46629	46679	+	25	124445	1297	36879886	5.71231503	9.81E-05	1566	724	0.00336354	3.57E-05	3.67E-05	1.70E-05	79.43203574	1.823448276	0.493629661	0.000200852	0.001634172	0.001634172		
G0-16649	gene-lambdap57.AS	cpxQ	cro.AS	small regulatory RNA CpxQ	-	chrI	4106310	4106346	+	chrII	38205	38255	-	50	124420	629	36880554	23.56278378	4.38E-42	1566	55	0.00336354	1.83E-05	3.67E-05	1.29E-06	79.43203574	12.125	13.53954263	0.000401703	0.042313371	0.042313371		
G0-8867	gene-lambdap32	gcvB	lambdap32	small regulatory RNA GcvB	-	chrI	2942695	2942798	+	chrII	27607	27694	-	157	768029	1175	36236292	6.304170024	2.42E-60	37439	224	0.020758612	3.60E-05	0.000876896	5.25E-06	20.51778846	5.92	1.71977436	0.000198728	0.03306837	0.03306837		
G0-8863	gene-lambdap49.EST5UTR.39	rprA	N.EST5UTR	small regulatory RNA RprA	-	chrI	1770389	1770400	+	chrII	35385	35400	-	32	628	4732	37000261	398.4284907	6.38E-64	10	12185	1.78E-05	0.000128737	2.34E-07	0.000285397	60	0.390940423	7.38170379	0.048484848	0.000124447	0.048484848		
EG12356.G7751.IGR	preS	rtcR.rtcB.IGR	preS	DNA-binding transcriptional activator RtcR : RNA-splicing ligase	-	chrI	3558133	3558156	-	chrII	33923	33981	-	6	38	106222	36899387	54.8494568	0.028567047	1	3512	1.19E-06	0.002870588	2.34E-08	8.23E-05	22	30.23854256	54.8494568	0.136363636	5.65E-05	0.136363636		
G0-9611	gene-lambdap81	sokB	ea31	putative small regulatory RNA antitoxin SokB	-	chrI	1492118	1492150	+	chrII	24431	24529	-	15	484	10490	36994664	109.2973158	7.93E-19	1702	1123	1.35E-05	0.000283876	3.99E-05	2.63E-05	0.293012331	9.346085409	0.672227751	0.000417419	0.000632442	0.000632442		
G0-17104	gene-lambdap86	uhpU	cIII	small RNA UhpU	-	chrI	3845783	3845792	-	chrII	33409	33456	-	19	13792	6735	36985107	7.5651167	0.000248174	405	3469	0.000373213	0.000182513	9.49E-06	8.13E-05	34.01724138	1.946397695	0.697819116	0.001375715	0.000259489	0.001375715		
G0-17104	lpr2.gene-lambdap74.IGR	uhpU	lpr2.S.IGR	small RNA UhpU	- : -	chrI	3845771	3845799	-	chrII	44925	45073	+	14	13797	3456	36988386	10.86012987	0.000991677	405	4776	0.000373213	9.38E-05	9.49E-06	0.000111863	34.01724138	0.72639732	0.37385647	0.001013685	0.000138889	0.001013685		
EG12316.5UTR	preS	acnB.5UTR	preS	bifunctional aconitate hydratase B and 2-methylisocitrate dehydratase	-	chrI	131520	131758	+	chrII	33907	33959	-	194	11068	106034	36888357	6.097850137	1.31E-76	4287	3512	0.000304332	0.002870588	0.00010041	8.23E-05	2.626399254	30.23854256	0.758984911	0.002144088	0.00182626	0.002144088		
gene-lambdap45	gene-lambdap49.EST3UTR.100	ea10	N.EST3UTR	-	-	chrII	33333	33795	-	chrII	34817	34979	-	26	34356	5047	36966224	5.542970152	6.53E-05	12703	4368	0.000929101	0.000137087	0.00029753	0.000102307	2.706391688	1.161135271	0.039120762	9.70E-05	0.000282025	0.000282025		
gene-lambdap37.EST3UTR.34	gene-lambdap05	orf61.EST3UTR	C	-	-	chrII	30817	30830	-	chrII	4503	4512	+	18	22527	1274	36981834	23.19466813	7.06E-12	2160	423	0.000609231	3.49E-05	5.06E-05	9.91E-06	10.43267006	3.047169811	1.656042928	0.000394742	0.002011881	0.002011881		
gene-lambdap02	gene-lambdap04	A	B	-	-	chrII	2319	2798	+	chrII	3609	3978	+	18	9298	3875	36992462	18.48095854	3.25E-10	3761	1994	0.000251745	0.0001052	8.81E-05	4.67E-05	2.476342371	1.951378446	0.200570927	0.000226751	0.000427588	0.000427588		
gene-lambdap16	gene-lambdap02	H	A	-	-	chrII	12028	12462	+	chrII	1907	2373	+	22	12722	6138	36986771	10.42045839	1.37E-08	2352	2677	0.00034438	0.000166461	5.51E-05	6.27E-05	5.416064598	2.300224048	0.291562789	0.000443095	0.000389321	0.000443095		
gene-lambdap02	gene-lambdap79.gene-lambdap01.IGR	A	lambdap79.nu1.IGR	-	- : -	chrII	803	1287	+	chrII	48110	48396	+	29	6039	5327	36994258	33.34913644	7.79E-27	1847	453	0.000163975	0.000144735	4.33E-05	1.06E-05	3.283549784	11.79735683	2.901377313	0.00074369	0.003027177	0.003027177		
gene-lambdap01	gene-lambdap02	nu1	A	-	-	chrII	156	283	+	chrII	1222	1571	+	23	2681	4764	36998185	66.62537844	6.13E-27	853	1816	7.31E-05	0.000129359	2.00E-05	4.25E-05	3.166276347	2.634562466	1.248211856	0.001276338	0.000599886	0.001276338		
gene-lambdap07	gene-lambdap04	D	B	-	-	chrII	5511	5964	+	chrII	4009	4493	+	35	13383	9368	36982867	10.32448173	1.13E-16	5423	3396	0.000362593	0.000254096	0.000127018	7.95E-05	2.473820059	2.768030615	0.158781008	0.000305805	0.000488279	0.000488279		
gene-lambdap14	gene-lambdap04	G	B	-	-	chrII	9616	10067	+	chrII	2802	3299	+	29	11424	6197	36988003	15.15162425	2.33E-17	2989	3047	0.000309493	0.000168245	7.00E-05	7.14E-05	3.830434783	2.042650919	0.2662519	0.000459645	0.000450898	0.000459645		
gene-lambdap05	gene-lambdap08	C	E	-	-	chrII	4230	4654	+	chrII	6205	6666	+	27	7450	10759	36987417	12.45918365	1.14E-13	2576	3889	0.00020205	0.000291469	6.03E-05	9.11E-05	2.901435778	2.772750643	0.225115118	0.000496529	0.000328935	0.000496529		
gene-lambdap05	gene-lambdap08	C	E	-	-	chrII	4737	5175	+	chrII	6217	6450	+	17	5274	5345	36995017	22.31024387	1.13E-10	2437	1907	0.000142978	0.000144897	5.71E-05	4.47E-05	2.170221493	2.810272537	0.305596316	0.000330454	0.000422247	0.000422247		
